segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,metric,n__saved,non_null__saved,clipped_median__saved,clipped_q25__saved,clipped_q75__saved,clipped_iqr__saved,n__stopped,non_null__stopped,clipped_median__stopped,clipped_q25__stopped,clipped_q75__stopped,clipped_iqr__stopped,clipped_median_difference,clipped_median_difference_ci_lower,clipped_median_difference_ci_upper,bootstrap_iterations,confidence_level
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,frequency,0,0,,,,,0,0,,,,,,,,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,breadth,0,0,,,,,0,0,,,,,,,,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,tenure,0,0,,,,,0,0,,,,,,,,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,tt_cost,0,0,,,,,0,0,,,,,,,,2000,0.95
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,frequency,23,23,69.0,32.5,86.5,54.0,25,25,62.0,30.0,78.0,48.0,7.0,-29.0,44.0,2000,0.95
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,breadth,23,23,6.0,2.0,10.5,8.5,25,25,5.0,3.0,8.0,5.0,1.0,-3.0,5.0,2000,0.95
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,tenure,23,23,1482.0,1269.0,1770.5,501.5,25,25,1576.0,1149.0,1642.0,493.0,-94.0,-244.09999999999982,388.0,2000,0.95
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,tt_cost,23,23,371.961,244.09416666666667,531.0423333333333,286.9481666666667,25,25,438.122,380.952,546.7860000000001,165.83400000000006,-66.161,-236.06166666666672,49.94999999999999,2000,0.95
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,frequency,3,3,90.0,49.0,90.5,41.5,37,37,76.0,41.0,85.0,44.0,14.0,-74.0,33.0,2000,0.95
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,breadth,3,3,13.0,7.0,14.319999999999936,7.319999999999936,37,37,5.0,4.0,10.0,6.0,8.0,-6.0,11.639999999999873,2000,0.95
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tenure,3,3,1389.0,1297.5,1421.5,124.0,37,37,1482.0,1180.0,1667.0,487.0,-93.0,-408.0,149.0,2000,0.95
3,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Midpoint,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Midpoint,tt_cost,3,3,241.84866666666667,221.22333333333336,352.19283333333334,130.96949999999998,37,37,518.6273333333334,251.082,594.072,342.99,-276.7786666666667,-336.864,69.59699999999992,2000,0.95
