segment_rank,segment_label,contact_channel_group,contact_timing,cohort,src_risk_tier,Treatment,metric,n__saved,non_null__saved,clipped_median__saved,clipped_q25__saved,clipped_q75__saved,clipped_iqr__saved,n__stopped,non_null__stopped,clipped_median__stopped,clipped_q25__stopped,clipped_q75__stopped,clipped_iqr__stopped,clipped_median_difference,clipped_median_difference_ci_lower,clipped_median_difference_ci_upper,bootstrap_iterations,confidence_level
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,tenure,59,59,1502.0,1282.5,1735.5,453.0,31,31,1300.0,601.0,1540.5,939.5,202.0,57.975000000000044,388.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Control,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Control,tt_cost,59,59,454.21200000000005,284.76266666666663,548.7840000000001,264.0213333333335,31,31,443.556,169.16400000000002,672.9399999999999,503.77599999999995,10.656000000000063,-176.7066666666667,76.92299999999994,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,frequency,23,23,77.0,49.0,89.0,40.0,58,58,39.0,6.25,73.0,66.75,38.0,13.5,66.02499999999986,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,breadth,23,23,5.0,2.5,7.5,5.0,58,58,4.0,1.0,6.0,5.0,1.0,-1.0,4.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,tenure,23,23,1468.0,1298.0,1882.5,584.5,58,58,1374.0,1065.25,1553.75,488.5,94.0,-30.5,317.0,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Midpoint,tt_cost,23,23,421.911,328.38750000000005,566.9643333333333,238.5768333333333,58,58,447.3855,268.64750000000004,623.49275,354.84524999999996,-25.474499999999978,-117.34154999999978,112.65716666666668,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,frequency,0,0,,,,,0,0,,,,,,,,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,breadth,0,0,,,,,0,0,,,,,,,,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,tenure,0,0,,,,,0,0,,,,,,,,2000,0.95
2,Called-In Cancel Flow · Contact Before Pricing · Two-Offer Cohort · Missing · Tiered,Called-In Cancel Flow,Contact Before Pricing,Two-Offer Cohort,,Tiered,tt_cost,0,0,,,,,0,0,,,,,,,,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,frequency,20,20,46.0,15.0,59.5,44.5,8,8,34.5,11.75,56.25,44.5,11.5,-23.0,43.5,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,breadth,20,20,4.0,2.0,6.25,4.25,8,8,1.0,0.0,4.5,4.5,3.0,-2.0,5.5,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,tenure,20,20,1602.5,970.0,2228.25,1258.25,8,8,1862.5,1338.25,2174.25,836.0,-260.0,-906.0624999999999,568.5749999999941,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Control,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Control,tt_cost,20,20,533.6325,282.80025,742.00725,459.207,8,8,682.8518333333334,529.5532499999999,929.6527500000001,400.09950000000015,-149.21933333333334,-794.5546499999999,177.16432499999996,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,frequency,7,7,44.0,35.0,47.0,12.0,14,14,39.0,32.25,53.75,21.5,5.0,-14.0,16.0,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,breadth,7,7,5.0,3.0,6.5,3.5,14,14,5.5,4.0,8.75,4.75,-0.5,-5.0,3.0,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,tenure,7,7,906.0,398.5,1724.0,1325.5,14,14,1743.0,1511.75,1964.25,452.5,-837.0,-1537.0,465.5,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Midpoint,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Midpoint,tt_cost,7,7,204.72666666666666,161.07600000000002,574.092,413.01599999999996,14,14,604.4453333333333,472.527,697.2525,224.72550000000007,-399.71866666666665,-512.1045,110.50566666666668,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,frequency,7,7,39.0,29.5,48.5,19.0,15,15,31.0,11.0,45.5,34.5,8.0,-11.0,36.0,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,breadth,7,7,2.0,1.0,4.0,3.0,15,15,4.0,2.0,5.0,3.0,-2.0,-5.0,1.0,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,tenure,7,7,1907.0,1633.0,2120.5,487.5,15,15,1873.0,1144.0,2366.0,1222.0,34.0,-670.3999999999958,911.0,2000,0.95
3,Called-In Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 2. Med-Low risk · Tiered,Called-In Cancel Flow,Contact Before Pricing,Three-Offer Cohort,2. Med-Low risk,Tiered,tt_cost,7,7,635.0310000000001,543.789,697.3530000000001,153.56400000000008,15,15,723.0176666666667,493.00649999999996,798.8670000000001,305.8605000000001,-87.98666666666668,-316.0686666666666,272.7270000000001,2000,0.95
4,Online Cancel Flow · Contact Before Pricing · Three-Offer Cohort · 1. Low risk · Control,Online Cancel Flow,Contact Before Pricing,Three-Offer Cohort,1. Low risk,Control,frequency,23,23,69.0,32.5,86.5,54.0,25,25,62.0,30.0,78.0,48.0,7.0,-28.0,45.0,2000,0.95
